,year,state,participation,composite,test
0,2017,Alabama,1.1563283001723965,-1.1062206084324913,ACT
1,2017,Alaska,0.10634451189012731,-0.8178020876824038,ACT
2,2017,Arizona,0.01634590146593271,-0.8658718411407523,ACT
3,2017,Arkansas,1.1563283001723965,-1.010081101515796,ACT
4,2017,California,-0.9136397395840773,0.6242905160680308,ACT
5,2017,Colorado,1.1563283001723965,-0.3371045530989256,ACT
6,2017,Connecticut,-0.9136397395840773,1.7779645990683777,ACT
7,2017,Delaware,-1.3036337180889201,1.2491973110265528,ACT
8,2017,District of Columbia,-0.8836402027760124,1.2972670644848996,ACT
9,2017,Florida,0.3463408063546459,-0.8178020876824038,ACT
10,2017,Georgia,-0.19365085619052103,-0.04868603234883971,ACT
11,2017,Hawaii,0.8563329320917483,-1.2023601153491867,ACT
12,2017,Idaho,-0.7036429819276234,0.38394174877629167,ACT
13,2017,Illinois,0.9463315425159429,-0.04868603234883971,ACT
14,2017,Indiana,-0.793641592351818,0.5281510091513355,ACT
15,2017,Iowa,0.16634358550625702,0.19166273494289937,ACT
16,2017,Kansas,0.3463408063546459,0.09552322802620408,ACT
17,2017,Kentucky,1.1563283001723965,-0.7216625807657084,ACT
18,2017,Louisiana,1.1563283001723965,-0.9620113480574476,ACT
19,2017,Maine,-1.6036290861695688,1.345336817943248,ACT
20,2017,Maryland,-1.0036383500082717,1.0088485437348136,ACT
21,2017,Massachusetts,-0.9736388132002071,1.874104105985073,ACT
22,2017,Michigan,-0.9736388132002071,1.2491973110265528,ACT
23,2017,Minnesota,1.1563283001723965,-0.0006162788904912096,ACT
24,2017,Mississippi,1.1563283001723965,-1.3946391291825773,ACT
25,2017,Missouri,1.1563283001723965,-0.5293835669323179,ACT
26,2017,Montana,1.1563283001723965,-0.5774533203906647,ACT
27,2017,Nebraska,0.6763357112433591,-0.04868603234883971,ACT
28,2017,Nevada,1.1563283001723965,-1.77919715684936,ACT
29,2017,New Hampshire,-1.3036337180889201,1.9221738594434215,ACT
30,2017,New Jersey,-0.8236411291598827,1.1530578041098558,ACT
31,2017,New Mexico,0.13634404869819217,-0.8658718411407523,ACT
32,2017,New York,-0.9136397395840773,1.2972670644848996,ACT
33,2017,North Carolina,1.1563283001723965,-1.1542903618908382,ACT
34,2017,North Dakota,1.096329226556267,-0.5774533203906647,ACT
35,2017,Ohio,0.40633987997077564,0.2397324884012479,ACT
36,2017,Oklahoma,1.1563283001723965,-1.010081101515796,ACT
37,2017,Oregon,-0.6436439083114937,0.14359298148455257,ACT
38,2017,Pennsylvania,-1.153636034048596,1.0569182971931605,ACT
39,2017,Rhode Island,-1.2136351076647258,1.2011275575682043,ACT
40,2017,South Carolina,1.1563283001723965,-1.3465693757242305,ACT
41,2017,South Dakota,0.5563375640111,0.14359298148455257,ACT
42,2017,Tennessee,1.1563283001723965,-0.8178020876824038,ACT
43,2017,Texas,-0.4936462242711695,-0.3851743065572741,ACT
44,2017,Utah,1.1563283001723965,-0.5774533203906647,ACT
45,2017,Vermont,-0.9736388132002071,1.0088485437348136,ACT
46,2017,Virginia,-0.9736388132002071,1.1049880506515088,ACT
47,2017,Washington,-0.9736388132002071,0.19166273494289937,ACT
48,2017,West Virginia,0.22634265912238644,-0.5293835669323179,ACT
49,2017,Wisconsin,1.1563283001723965,-0.4813138134739694,ACT
50,2017,Wyoming,1.1563283001723965,-0.6255230738490132,ACT
51,2018,Alabama,1.1563283001723965,-1.1542903618908382,ACT
52,2018,Alaska,-0.8536406659679476,-0.3371045530989256,ACT
53,2018,Arizona,0.13634404869819217,-1.1062206084324913,ACT
54,2018,Arkansas,1.1563283001723965,-1.010081101515796,ACT
55,2018,California,-1.0336378868163365,0.5762207626096822,ACT
56,2018,Colorado,-0.9436392763921422,1.1530578041098558,ACT
57,2018,Connecticut,-1.0636374236244015,1.97024361290177,ACT
58,2018,Delaware,-1.333633254896985,1.1049880506515088,ACT
59,2018,District of Columbia,-0.8836402027760124,1.0088485437348136,ACT
60,2018,Florida,0.13634404869819217,-0.769732334224057,ACT
61,2018,Georgia,-0.25364992980665074,-0.04868603234883971,ACT
62,2018,Hawaii,0.8263333952836834,-1.2504298688075353,ACT
63,2018,Idaho,-0.7636420555437532,0.38394174877629167,ACT
64,2018,Illinois,-0.5536452978872992,1.1530578041098558,ACT
65,2018,Indiana,-0.8836402027760124,0.480081255692987,ACT
66,2018,Iowa,0.1963431223143219,0.14359298148455257,ACT
67,2018,Kansas,0.28634173273851615,0.04745347456785729,ACT
68,2018,Kentucky,1.1563283001723965,-0.6255230738490132,ACT
69,2018,Louisiana,1.1563283001723965,-1.1062206084324913,ACT
70,2018,Maine,-1.6336286229776336,1.2011275575682043,ACT
71,2018,Maine,-1.6336286229776336,1.2011275575682043,ACT
72,2018,Maryland,-0.9136397395840773,0.480081255692987,ACT
73,2018,Massachusetts,-1.0936369604324663,1.9221738594434215,ACT
74,2018,Michigan,-1.183635570856661,1.2972670644848996,ACT
75,2018,Minnesota,1.1263287633643317,-0.09675578580718651,ACT
76,2018,Mississippi,1.1563283001723965,-1.3946391291825773,ACT
77,2018,Missouri,1.1563283001723965,-0.7216625807657084,ACT
78,2018,Montana,1.1563283001723965,-0.7216625807657084,ACT
79,2018,Nebraska,1.1563283001723965,-0.67359282730736,ACT
80,2018,Nevada,1.1563283001723965,-1.8272669103077086,ACT
81,2018,New Hampshire,-1.36363279170505,1.729894845610031,ACT
82,2018,New Jersey,-0.9136397395840773,1.0569182971931605,ACT
83,2018,New Mexico,0.16634358550625702,-1.010081101515796,ACT
